平安银行,000001,0,0,17170411366,16917989651,13.55,14.91,12.20,13.51,14.33,13.50,14.20,3122394,4376707089,14.19,3384,14.20,9419,14.18,2726,14.21,3785,14.17,262,14.22,7120,14.16,686,14.23,1678,14.15,2552,14.24,2378
万 科Ａ,000002,0,0,11039152001,9709165105,35.55,39.11,32.00,35.84,38.00,35.61,37.09,757186,2784027859,37.09,1458,37.10,113,37.08,286,37.11,16,37.07,435,37.12,269,37.06,1788,37.13,1408,37.05,101,37.14,101
国农科技,000004,0,0,83976684,82963684,22.20,24.42,19.98,22.18,22.18,21.12,21.30,8061,17341938,21.30,44,21.42,2,21.29,11,21.44,11,21.28,32,21.45,2,21.25,311,21.46,17,21.22,113,21.50,48
世纪星源,000005,0,0,1058536842,951222460,4.37,4.81,3.93,4.35,4.35,4.19,4.21,70138,29841778,4.20,622,4.21,242,4.19,598,4.22,544,4.18,357,4.23,358,4.17,267,4.24,287,4.16,250,4.25,309
神州高铁,000008,0,0,2818329809,2009212831,8.67,9.54,7.80,8.71,8.73,8.02,8.45,78898,66728321,8.45,1261,8.46,139,8.44,4,8.47,271,8.43,2715,8.48,421,8.42,1,8.49,434,8.41,30,8.50,590
中国宝安,000009,0,0,2149344971,2120089068,7.06,7.77,6.35,7.06,7.06,6.70,6.75,389764,267350335,6.75,6056,6.76,473,6.74,868,6.77,234,6.73,787,6.78,301,6.72,965,6.79,463,6.71,1641,6.80,656
美丽生态,000010,0,0,819854713,522171498,5.99,6.59,5.39,5.86,5.91,5.39,5.45,274913,154078208,5.45,429,5.46,174,5.44,749,5.47,113,5.43,1071,5.48,121,5.42,765,5.49,218,5.41,1607,5.50,414
深物业A,000011,0,0,595979092,175862626,17.76,19.54,15.98,17.83,17.97,17.12,17.30,67619,118676255,17.30,786,17.31,50,17.29,103,17.32,2,17.28,218,17.34,27,17.27,34,17.35,152,17.26,85,17.36,26
南 玻Ａ,000012,0,0,2484147547,1509664397,8.70,9.57,7.83,8.70,8.90,8.67,8.72,264719,232815076,8.72,2137,8.73,1000,8.71,1111,8.74,268,8.70,1478,8.75,393,8.69,456,8.76,557,8.68,1039,8.77,884
沙河股份,000014,0,0,201705187,201705187,13.76,15.14,12.38,13.90,14.43,13.40,13.82,238255,331529595,13.82,406,13.83,847,13.81,233,13.84,256,13.80,151,13.85,25,13.79,16,13.86,7,13.78,84,13.87,65
深康佳Ａ,000016,0,0,2407945408,1596574300,6.63,7.29,5.97,6.69,6.69,6.35,6.41,192771,125294284,6.41,1044,6.42,317,6.40,542,6.43,217,6.39,230,6.44,216,6.38,543,6.45,517,6.37,1070,6.46,382
深中华A,000017,0,0,551347947,302980258,6.24,6.86,5.62,6.24,6.29,6.05,6.12,20562,12629466,6.10,574,6.12,366,6.09,208,6.13,305,6.08,469,6.16,12,6.07,116,6.17,186,6.06,55,6.18,117
神州长城,000018,0,0,1698245011,753766344,6.22,6.84,5.60,6.20,6.20,5.97,6.02,111140,67417026,6.02,503,6.03,549,6.01,599,6.04,277,6.00,1360,6.05,232,5.99,873,6.06,235,5.98,1880,6.07,339
深华发Ａ,000020,0,0,283161227,181165391,14.50,15.95,13.05,14.33,14.50,14.01,14.06,12081,17104983,14.05,88,14.06,66,14.04,61,14.07,76,14.03,81,14.10,68,14.02,407,14.12,4,14.01,85,14.14,11
深科技,000021,0,0,1471259363,1469270814,11.20,12.32,10.08,11.11,12.18,10.95,11.73,1531766,1771070801,11.73,2402,11.74,453,11.72,2927,11.75,2820,11.71,1993,11.76,581,11.70,1440,11.77,1211,11.69,14,11.78,1349
深天地Ａ,000023,0,0,138756240,138756240,20.62,22.68,18.56,20.62,20.74,19.85,19.86,8589,17265441,19.86,14,19.87,13,19.85,82,19.91,21,19.81,170,19.92,55,19.80,306,19.94,1,19.70,65,19.95,17
特 力Ａ,000025,0,0,297281600,193881600,38.41,42.25,34.57,38.30,38.45,37.80,37.83,15316,58198553,37.83,64,37.84,5,37.82,59,37.85,41,37.81,46,37.86,8,37.80,208,37.87,1,37.79,1,37.88,8
飞亚达Ａ,000026,0,0,438744881,357047148,10.86,11.95,9.77,10.82,10.85,10.54,10.55,18883,20104544,10.54,74,10.55,704,10.53,240,10.56,47,10.52,208,10.57,50,10.51,320,10.58,1,10.50,377,10.59,9
深圳能源,000027,0,0,3964491597,3964491597,6.13,6.74,5.52,6.15,6.15,6.04,6.04,65447,39815935,6.03,1987,6.04,5300,6.02,1000,6.05,6336,6.01,1585,6.06,216,6.00,1441,6.07,398,5.99,60,6.08,3242
国药一致,000028,0,0,428126983,307744355,61.20,67.32,55.08,60.95,61.44,60.81,60.90,12071,73785483,60.90,257,60.91,18,60.88,2,60.94,15,60.86,302,60.99,7,60.85,2,61.00,25,60.84,4,61.05,42
富奥股份,000030,0,0,1293251508,1252245577,8.14,8.95,7.33,8.12,8.13,7.88,7.92,39505,31571439,7.92,236,7.93,258,7.91,146,7.94,286,7.90,71,7.95,298,7.89,76,7.96,114,7.88,506,7.97,223
深桑达Ａ,000032,0,0,422254134,279435887,10.08,11.09,9.07,10.08,10.10,9.70,9.79,27538,27121662,9.78,48,9.79,240,9.77,54,9.81,12,9.76,83,9.82,453,9.75,108,9.83,9,9.74,110,9.85,142
华联控股,000036,0,0,1141487712,1132581462,10.03,11.03,9.03,9.94,10.30,9.78,9.90,353000,353292608,9.89,209,9.90,1639,9.88,730,9.91,376,9.87,319,9.92,480,9.86,481,9.93,459,9.85,236,9.94,500
深南电A,000037,0,0,602762596,338895157,7.02,7.72,6.32,6.99,7.00,6.77,6.77,12270,8410424,6.77,191,6.78,32,6.76,150,6.79,465,6.75,41,6.80,50,6.74,30,6.81,30,6.73,114,6.82,74
深大通,000038,0,0,522777419,78847029,20.30,22.33,18.27,20.15,20.49,19.30,19.69,30480,60836840,19.69,229,19.70,51,19.68,136,19.72,15,19.67,2,19.75,63,19.66,15,19.77,91,19.65,7,19.79,19
中集集团,000039,0,0,2982889136,1265812501,22.25,24.48,20.03,22.25,22.37,21.45,21.51,205862,447690780,21.51,79,21.52,24,21.50,5649,21.53,348,21.49,70,21.55,133,21.48,55,21.56,8,21.47,117,21.57,206
东旭蓝天,000040,0,0,1337173272,1022349969,13.19,14.51,11.87,13.18,13.34,13.12,13.21,34894,46218820,13.21,71,13.26,158,13.20,168,13.27,59,13.19,116,13.28,66,13.18,32,13.29,209,13.16,127,13.30,987
中洲控股,000042,0,0,664831139,487996480,19.07,20.98,17.16,19.13,19.28,17.33,17.60,30591,56021859,17.59,57,17.60,24,17.57,45,17.61,161,17.56,34,17.70,57,17.55,115,17.71,177,17.54,2,17.77,41
中航地产,000043,0,0,666961416,666780666,10.17,11.19,9.15,10.18,10.20,9.92,10.02,60577,60689242,10.02,947,10.03,827,10.01,172,10.04,331,10.00,51,10.05,175,9.99,92,10.07,45,9.98,47,10.08,104
深纺织Ａ,000045,0,0,511274149,457021849,9.92,10.91,8.93,9.92,9.97,9.55,9.55,33730,32768867,9.55,156,9.57,152,9.54,50,9.58,20,9.52,20,9.59,10,9.51,66,9.60,439,9.50,82,9.62,90
康达尔,000048,0,0,390768671,385392267,20.25,22.28,18.23,20.18,20.39,19.93,19.93,3011,6029985,19.93,150,20.01,12,19.92,10,20.03,1,19.90,86,20.05,12,19.85,50,20.06,52,19.81,5,20.10,1
德赛电池,000049,0,0,205243738,205243738,39.63,43.59,35.67,39.60,39.60,38.24,38.46,30853,119879210,38.45,148,38.46,140,38.44,18,38.47,1,38.43,94,38.48,6,38.40,11,38.49,6,38.39,5,38.50,36
深天马Ａ,000050,0,0,1401098744,1401016169,19.61,21.57,17.65,19.58,19.80,18.96,19.11,196987,381319122,19.11,675,19.12,179,19.10,152,19.13,1,19.09,15,19.14,135,19.08,388,19.15,224,19.07,367,19.16,36
方大集团,000055,0,0,1183642254,678243800,6.29,6.92,5.66,6.28,6.28,6.05,6.07,60105,36879167,6.07,70,6.08,807,6.06,1552,6.09,235,6.05,940,6.10,1111,6.04,309,6.11,168,6.03,1130,6.12,23
深 赛 格,000058,0,0,1235656249,538271253,7.69,8.46,6.92,7.62,7.66,7.35,7.42,51433,38661428,7.41,303,7.42,31,7.40,102,7.43,205,7.39,172,7.44,92,7.38,149,7.45,58,7.37,105,7.46,287
华锦股份,000059,0,0,1599442537,1599439081,10.59,11.65,9.53,10.66,10.69,10.18,10.37,374815,391056917,10.37,334,10.38,769,10.36,25,10.39,2384,10.35,213,10.40,332,10.34,421,10.41,560,10.32,99,10.42,45
